Site,Date,Tmin,Tmax,Taverage,Rh_min,Rh_max,Rh_average,Wind,Precipitations,Rg,Ri_PAR_f
PR,2016-03-14,21.5,32.2,26.33,73.0,99.0,89.96,0.0,0.0,14.176,6.80448
PR,2016-03-15,23.0,36.9,28.75,58.0,98.0,83.42,0.185,0.0,22.549,10.823519999999998
PR,2016-03-16,25.5,35.8,29.55,61.0,98.0,84.17,0.389,0.0,21.732,10.43136
PR,2016-03-17,24.9,34.8,28.94,67.0,98.0,87.04,0.407,0.0,17.756,8.52288
PR,2016-03-18,22.2,34.8,24.97,67.0,98.0,93.88,1.1,33.63,6.87,3.2976
PR,2016-03-19,23.5,34.3,28.07,63.0,99.0,85.46,0.167,0.0,20.552,9.86496
PR,2016-03-20,23.3,34.7,28.14,68.0,98.0,86.33,0.333,0.0,18.058,8.66784
PR,2016-03-21,23.3,34.1,27.9,67.0,97.0,86.54,0.37,2.5,18.148,8.711039999999999
PR,2016-03-22,23.7,34.8,28.48,67.0,98.0,87.17,0.315,0.0,20.218,9.70464
PR,2016-03-23,24.1,33.7,27.6,77.0,98.0,90.67,0.315,0.47,13.362,6.41376
PR,2016-03-24,23.4,33.0,26.34,74.0,98.0,92.63,0.204,23.63,12.037,5.77776
PR,2016-03-25,24.2,34.1,27.4,73.0,99.0,91.63,0.148,0.0,15.302,7.3449599999999995
PR,2016-03-26,24.3,33.3,27.02,76.0,98.0,93.5,0.093,12.33,11.188,5.37024
PR,2016-03-27,24.2,33.3,27.21,76.0,99.0,93.21,1.212,4.17,10.188,4.89024
PR,2016-03-28,25.7,34.7,28.66,69.0,99.0,89.38,0.185,0.0,17.392,8.34816
PR,2016-03-29,24.9,35.1,28.6,69.0,98.0,86.79,1.164,0.0,18.177,8.72496
PR,2016-03-30,24.2,32.8,27.61,80.0,97.0,90.5,0.167,1.04,12.233,5.87184
PR,2016-03-31,25.0,34.1,28.93,72.0,98.0,87.83,0.407,0.93,18.961,9.10128
PR,2016-04-01,25.2,32.8,27.69,77.0,98.0,92.04,0.222,17.55,11.75,5.64
PR,2016-04-02,24.6,33.8,28.2,72.0,98.0,89.13,0.389,0.0,18.008,8.643839999999999
PR,2016-04-03,24.4,35.0,28.36,67.0,98.0,87.71,0.13,6.33,16.37,7.857600000000001
PR,2016-04-04,24.1,34.1,28.4,71.0,98.0,88.33,0.352,5.34,16.731,8.03088
PR,2016-04-05,25.0,34.5,28.7,73.0,98.0,88.92,0.39,1.95,16.323,7.83504
PR,2016-04-06,24.5,30.0,27.25,86.0,97.0,92.25,0.352,0.0,10.309,4.94832
PR,2016-04-07,24.2,35.7,28.53,52.0,98.0,81.71,0.148,0.0,23.981,11.51088
PR,2016-04-08,24.3,36.2,29.05,57.0,98.0,83.42,0.278,0.0,18.785,9.0168
PR,2016-04-09,22.3,36.3,26.36,63.0,98.0,89.45,0.311,16.24,15.057,7.22736
PR,2016-04-10,21.6,34.1,27.02,61.0,99.0,85.25,0.019,0.0,19.738,9.47424
PR,2016-04-11,23.2,34.9,28.05,62.0,98.0,84.38,0.074,0.0,19.883,9.54384
PR,2016-04-12,23.1,31.3,26.94,79.0,97.0,91.46,0.111,6.76,10.591,5.083679999999999
PR,2016-04-13,24.1,35.0,28.56,69.0,98.0,87.21,0.111,0.0,15.683,7.527839999999999
PR,2016-04-14,24.2,33.9,27.55,72.0,98.0,91.33,0.333,0.0,17.713,8.50224
PR,2016-04-15,21.7,31.9,25.95,74.0,99.0,91.17,0.297,54.01,15.054,7.2259199999999995
PR,2016-04-16,22.8,34.6,27.91,64.0,98.0,85.38,0.093,0.0,20.164,9.67872
PR,2016-04-17,23.8,35.3,28.8,62.0,98.0,83.67,0.037,0.0,21.182,10.167359999999999
PR,2016-04-18,23.7,34.3,28.24,69.0,98.0,87.21,0.185,0.0,18.371,8.818079999999998
PR,2016-04-19,23.8,33.6,27.7,68.0,98.0,89.29,0.037,0.0,16.266,7.807679999999999
PR,2016-04-20,24.1,35.6,28.11,66.0,98.0,86.21,0.241,0.0,19.494,9.35712
PR,2016-04-21,23.5,33.9,28.21,72.0,97.0,87.83,0.037,0.0,15.355,7.3704
PR,2016-04-22,23.9,35.9,29.08,60.0,98.0,84.71,0.111,0.0,21.477,10.308959999999999
PR,2016-04-23,24.1,35.9,29.02,65.0,98.0,85.75,0.241,0.0,20.038,9.61824
PR,2016-04-24,23.8,35.1,28.7,67.0,98.0,86.46,0.37,6.53,20.038,9.61824
PR,2016-04-25,24.2,34.4,28.13,65.0,97.0,86.71,0.093,0.0,15.705,7.538399999999999
PR,2016-04-26,24.2,33.8,27.28,77.0,98.0,91.33,0.185,0.0,12.34,5.9232
PR,2016-04-27,23.6,33.9,27.74,76.0,98.0,90.88,0.222,1.0,14.839,7.12272
PR,2016-04-28,22.1,27.7,24.37,91.0,98.0,96.13,0.148,14.25,3.772,1.8105599999999997
PR,2016-04-29,22.2,35.2,28.1,65.0,99.0,85.17,0.056,0.0,20.703,9.937439999999999
PR,2016-04-30,23.2,34.9,28.23,73.0,98.0,88.46,0.259,0.0,18.893,9.06864
PR,2016-05-01,24.8,34.3,28.69,70.0,98.0,88.38,0.241,0.0,17.674,8.483519999999999
PR,2016-05-02,23.4,34.9,28.09,68.0,98.0,87.5,0.378,17.97,17.288,8.29824
PR,2016-05-03,23.2,34.0,26.83,72.0,99.0,92.46,0.056,4.53,15.01,7.2048
PR,2016-05-04,22.9,33.8,27.08,72.0,98.0,90.04,0.111,0.0,13.578,6.51744
PR,2016-05-05,22.6,34.4,27.41,67.0,98.0,87.13,0.278,0.0,21.491,10.315679999999999
PR,2016-05-06,23.6,33.9,27.45,70.0,98.0,89.71,0.074,3.94,14.327,6.8769599999999995
PR,2016-05-07,23.3,33.6,28.04,74.0,99.0,88.92,0.426,0.0,19.53,9.3744
PR,2016-05-08,24.8,33.8,27.93,69.0,98.0,88.79,0.111,0.0,17.939,8.61072
PR,2016-05-09,23.0,35.2,28.28,65.0,98.0,86.54,0.093,0.0,20.811,9.989279999999999
PR,2016-05-10,22.9,32.6,26.75,73.0,97.0,88.33,0.148,0.43,16.828,8.07744
PR,2016-05-11,23.1,34.9,28.08,74.0,98.0,88.17,0.167,0.0,18.663,8.95824
PR,2016-05-12,22.2,29.7,25.88,80.0,98.0,91.67,0.186,13.78,13.661,6.5572799999999996
PR,2016-05-13,23.1,34.1,27.04,71.0,98.0,89.6,0.244,0.0,16.05,7.704
PR,2016-05-14,24.0,32.9,27.27,76.0,98.0,91.21,0.37,0.0,18.818,9.03264
PR,2016-05-15,23.2,28.9,25.31,87.0,98.0,94.67,0.093,0.4,5.995,2.8776
PR,2016-05-16,21.7,34.9,27.55,59.0,99.0,85.33,0.111,0.0,23.82,11.4336
PR,2016-05-17,24.6,31.0,26.92,79.0,98.0,91.08,0.389,0.0,13.784,6.61632
PR,2016-05-18,23.3,35.1,27.63,63.0,99.0,86.17,0.111,0.0,20.268,9.72864
PR,2016-05-19,23.6,33.2,27.8,72.0,98.0,88.46,0.259,0.0,17.983,8.63184
PR,2016-05-20,23.8,34.5,28.4,68.0,98.0,86.5,0.333,0.0,20.599,9.88752
PR,2016-05-21,24.9,33.1,26.77,74.0,97.0,92.83,0.093,0.0,11.135,5.344799999999999
PR,2016-05-22,24.2,28.5,25.87,88.0,98.0,95.29,0.019,22.47,9.072,4.354559999999999
PR,2016-05-23,23.5,29.6,25.58,82.0,99.0,94.96,0.111,12.49,10.472,5.02656
PR,2016-05-24,22.8,33.7,27.61,69.0,98.0,87.05,0.021,0.0,15.704,7.53792
PR,2016-05-25,22.2,32.4,24.62,79.0,99.0,95.29,0.148,13.2,8.543,4.100639999999999
PR,2016-05-26,22.0,33.4,26.03,74.0,99.0,93.0,0.111,9.9,16.821,8.07408
PR,2016-05-27,23.6,33.0,27.73,74.0,99.0,90.04,0.241,7.75,17.716,8.503680000000001
PR,2016-05-28,23.8,32.6,27.28,76.0,98.0,90.25,0.148,0.0,18.695,8.9736
PR,2016-05-29,23.3,33.2,25.6,78.0,99.0,94.17,0.093,0.0,11.879,5.701919999999999
PR,2016-05-30,22.6,31.3,25.85,80.0,99.0,93.0,0.056,12.09,12.527,6.01296
PR,2016-05-31,22.9,34.8,27.46,64.0,99.0,88.54,0.019,0.0,19.077,9.15696
PR,2016-06-01,24.0,34.5,27.6,68.0,98.0,90.33,0.093,0.46,16.669,8.00112
PR,2016-06-02,23.7,31.4,26.02,78.0,98.0,94.21,0.056,5.1,9.558,4.58784
PR,2016-06-03,23.2,34.4,26.9,67.0,99.0,89.88,0.111,0.0,19.199,9.21552
PR,2016-06-04,22.6,33.8,27.81,71.0,99.0,87.45,0.162,0.0,20.131,9.66288
PR,2016-06-05,24.3,32.0,27.02,78.0,98.0,92.04,0.296,0.0,15.759,7.5643199999999995
PR,2016-06-06,23.8,33.2,27.37,75.0,98.0,90.79,0.093,6.47,15.284,7.33632
PR,2016-06-07,22.2,25.2,23.87,95.0,99.0,97.5,0.223,5.0,4.182,2.0073600000000003
PR,2016-06-08,21.2,33.3,26.76,69.0,99.0,89.92,0.093,1.67,20.33,9.758399999999998
PR,2016-06-09,24.1,29.1,26.1,81.0,98.0,92.38,0.0,0.0,11.407,5.47536
PR,2016-06-10,22.8,32.0,26.51,71.0,99.0,88.96,0.019,0.0,16.439,7.89072
PR,2016-06-11,22.2,32.9,26.55,74.0,99.0,90.92,0.296,1.73,16.342,7.844159999999999
PR,2016-06-12,22.2,30.4,25.41,79.0,99.0,92.25,0.186,6.67,11.456,5.49888
PR,2016-06-13,23.6,28.7,25.98,88.0,99.0,94.83,0.056,1.6,7.903,3.7934399999999995
PR,2016-06-14,23.3,31.9,25.69,72.0,99.0,93.33,0.093,24.67,12.624,6.05952
PR,2016-06-15,23.0,25.5,23.99,96.0,99.0,97.63,0.148,91.93,5.34,2.5631999999999997
PR,2016-06-16,22.8,30.1,25.22,79.0,99.0,94.5,0.019,0.93,11.394,5.46912
PR,2016-06-17,23.6,33.6,26.25,70.0,99.0,91.71,0.148,1.77,16.936,8.12928
PR,2016-06-18,22.9,33.8,27.1,67.0,99.0,87.42,0.111,2.6,21.34,10.2432
PR,2016-06-19,22.7,30.8,25.21,79.0,98.0,94.83,0.222,34.77,11.31,5.4288
PR,2016-06-20,22.7,26.3,23.76,93.0,99.0,97.75,0.111,30.53,6.057,2.90736
PR,2016-06-21,22.3,29.9,25.75,81.0,99.0,92.05,0.037,7.44,14.751,7.08048
PR,2016-06-22,20.7,31.8,25.38,74.0,99.0,90.79,0.019,0.0,14.283,6.85584
PR,2016-06-23,21.5,30.4,24.8,80.0,99.0,94.5,0.185,3.4,11.959,5.74032
PR,2016-06-24,22.6,28.9,24.77,85.0,99.0,95.79,0.167,15.37,8.82,4.2336
PR,2016-06-25,21.9,30.4,24.53,83.0,99.0,96.21,0.148,8.5,9.616,4.615679999999999
PR,2016-06-26,22.2,30.7,25.95,76.0,99.0,91.58,0.278,23.48,17.786,8.53728
PR,2016-06-27,23.1,28.3,24.58,90.0,99.0,97.67,0.148,48.06,6.82,3.2736
PR,2016-06-28,22.9,29.2,25.2,81.0,100.0,93.63,0.111,0.0,11.857,5.6913599999999995
PR,2016-06-29,22.6,30.4,25.64,78.0,99.0,92.5,0.204,0.0,12.952,6.216959999999999
PR,2016-06-30,22.9,29.9,25.6,82.0,99.0,92.64,0.364,0.0,15.241,7.3156799999999995
PR,2016-07-01,21.3,31.3,25.63,75.0,99.0,90.67,0.185,0.0,16.305,7.8264
PR,2016-07-02,22.0,32.9,25.73,70.0,99.0,89.17,0.037,0.0,17.972,8.62656
PR,2016-07-03,22.4,32.2,25.68,75.0,99.0,92.13,0.093,2.33,13.747,6.59856
PR,2016-07-04,21.8,31.6,25.05,76.0,99.0,93.75,0.093,18.6,13.124,6.29952
PR,2016-07-05,22.5,28.9,24.65,86.0,99.0,95.63,0.13,63.47,8.756,4.20288
PR,2016-07-06,22.7,30.5,25.26,81.0,99.0,95.54,0.111,24.2,9.688,4.65024
PR,2016-07-07,23.8,31.2,26.55,81.0,100.0,92.61,0.222,1.67,16.334,7.840319999999999
PR,2016-07-08,23.7,31.2,26.68,82.0,99.0,92.38,0.37,6.03,15.197,7.29456
PR,2016-07-09,23.8,29.1,25.32,90.0,99.0,97.38,0.148,6.7,6.873,3.29904
PR,2016-07-10,23.6,28.6,25.52,87.0,100.0,95.88,0.111,70.13,8.046,3.8620799999999997
PR,2016-07-11,23.5,29.7,26.32,80.0,99.0,91.62,0.508,1.7,12.858,6.17184
PR,2016-07-12,23.2,30.3,25.9,77.0,99.0,91.25,0.37,0.0,14.539,6.97872
PR,2016-07-13,22.5,29.2,25.1,82.0,99.0,93.5,0.204,0.0,11.742,5.63616
PR,2016-07-14,23.3,29.4,25.37,80.0,99.0,94.17,0.185,0.43,9.029,4.33392
PR,2016-07-15,23.7,29.2,24.94,80.0,99.0,94.83,0.111,0.0,8.328,3.9974399999999997
PR,2016-07-16,23.2,29.5,25.58,83.0,99.0,92.79,0.167,4.23,10.911,5.237279999999999
PR,2016-07-17,22.5,28.9,24.86,83.0,99.0,94.04,0.093,0.37,8.022,3.8505599999999998
PR,2016-07-18,22.0,30.6,25.54,79.0,99.0,92.67,0.185,0.0,12.153,5.83344
PR,2016-07-19,23.3,28.2,24.55,88.0,99.0,96.58,0.148,19.46,5.153,2.4734399999999996
PR,2016-07-20,23.2,28.2,24.78,87.0,100.0,95.58,0.222,43.67,10.332,4.95936
PR,2016-07-21,23.2,28.0,24.91,89.0,100.0,97.13,0.111,10.23,6.615,3.1752
PR,2016-07-22,23.1,28.6,24.54,88.0,99.0,97.5,0.093,9.33,6.179,2.96592
PR,2016-07-23,23.1,27.1,24.63,93.0,100.0,97.78,0.123,21.76,6.248,2.99904
PR,2016-07-24,23.2,30.2,25.18,82.0,100.0,95.41,0.183,48.87,10.199,4.895519999999999
PR,2016-07-25,23.1,26.6,24.28,95.0,100.0,98.42,0.074,15.3,4.448,2.13504
PR,2016-07-26,23.4,28.3,25.24,86.0,100.0,96.0,0.111,0.0,8.878,4.26144
PR,2016-07-27,23.2,29.9,24.78,83.0,99.0,96.67,0.037,23.6,8.846,4.24608
PR,2016-07-28,23.3,28.9,24.33,85.0,100.0,98.38,0.074,38.6,6.373,3.05904
PR,2016-07-29,23.2,28.4,24.71,85.0,100.0,96.75,0.167,7.8,10.516,5.04768
PR,2016-07-30,23.3,29.8,25.32,82.0,99.0,94.25,0.426,17.87,13.553,6.50544
PR,2016-07-31,23.4,29.6,25.21,83.0,99.0,95.29,0.278,5.57,10.167,4.88016
PR,2016-08-01,23.4,28.7,25.3,84.0,100.0,94.96,0.296,0.5,9.705,4.658399999999999
PR,2016-08-02,23.8,29.3,25.73,81.0,99.0,93.33,0.463,0.6,11.325,5.435999999999999
PR,2016-08-03,23.9,29.5,25.9,82.0,99.0,93.17,0.296,2.97,12.718,6.10464
PR,2016-08-04,23.7,29.5,25.7,81.0,99.0,92.58,0.167,2.47,10.389,4.986719999999999
PR,2016-08-05,23.5,28.9,25.5,84.0,99.0,93.79,0.351,19.5,7.705,3.6984
PR,2016-08-06,23.1,27.7,25.56,87.0,99.0,93.71,0.418,0.0,7.519,3.60912
PR,2016-08-07,22.8,29.9,25.82,77.0,99.0,91.46,0.819,0.37,14.449,6.9355199999999995
PR,2016-08-08,21.6,29.7,24.97,78.0,100.0,92.46,0.13,0.0,11.714,5.62272
PR,2016-08-09,21.5,28.9,24.47,82.0,100.0,95.08,0.148,0.0,8.932,4.28736
PR,2016-08-10,21.8,29.8,25.28,81.0,100.0,92.92,0.278,0.0,11.613,5.57424
PR,2016-08-11,22.8,28.6,24.7,88.0,99.0,96.13,0.148,0.0,7.6,3.6479999999999997
PR,2016-08-12,23.7,29.6,25.76,82.0,99.0,93.46,0.241,1.63,12.545,6.021599999999999
PR,2016-08-13,23.7,28.0,25.04,88.0,99.0,95.42,0.352,0.33,8.882,4.26336
PR,2016-08-14,23.8,27.4,24.93,91.0,99.0,97.5,0.185,49.13,6.251,3.00048
PR,2016-08-15,23.4,28.7,24.95,88.0,100.0,96.25,0.241,0.0,7.633,3.66384
PR,2016-08-16,23.7,25.4,24.33,95.0,99.0,98.08,0.111,3.37,2.973,1.4270399999999999
PR,2016-08-17,23.3,28.8,25.1,85.0,100.0,95.04,0.111,0.0,9.307,4.46736
PR,2016-08-18,23.0,29.9,25.21,85.0,100.0,95.05,0.164,0.0,9.015,4.3272
PR,2016-08-19,21.7,28.9,24.15,86.0,100.0,96.61,0.346,25.9,5.909,2.8363199999999997
PR,2016-08-20,21.3,30.1,24.66,79.0,100.0,93.33,0.0,11.77,11.807,5.66736
PR,2016-08-21,23.8,29.1,25.55,86.0,99.0,94.29,0.222,1.93,9.835,4.7208000000000006
PR,2016-08-22,23.8,28.9,24.98,88.0,99.0,97.38,0.148,18.1,8.18,3.9263999999999997
PR,2016-08-23,23.4,27.2,24.6,94.0,100.0,98.17,0.222,0.6,6.802,3.26496
PR,2016-08-24,23.1,30.8,25.68,79.0,100.0,93.75,0.389,0.0,14.804,7.10592
PR,2016-08-25,23.1,28.9,24.83,90.0,100.0,96.13,0.259,4.13,9.137,4.38576
PR,2016-08-26,22.8,28.3,24.79,91.0,100.0,96.71,0.241,11.17,8.781,4.21488
PR,2016-08-27,23.7,28.2,24.79,90.0,100.0,97.88,0.111,0.0,5.538,2.65824
PR,2016-08-28,23.3,27.7,24.35,90.0,100.0,98.71,0.093,25.13,4.819,2.31312
PR,2016-08-29,22.4,31.9,25.8,69.0,100.0,92.29,0.037,14.93,14.517,6.968159999999999
PR,2016-08-30,23.2,29.6,25.55,84.0,100.0,94.79,0.093,5.06,11.177,5.36496
PR,2016-08-31,23.3,29.7,25.6,82.0,98.0,92.8,0.0,0.6,16.7,8.016
PR,2016-09-01,23.4,29.6,25.1,83.0,98.0,93.5,0.0,6.4,18.0,8.64
PR,2016-09-02,23.0,31.2,25.88,77.0,100.0,92.17,0.222,0.0,16.234,7.79232
PR,2016-09-03,22.4,31.0,25.67,77.0,100.0,92.83,0.426,1.77,18.447,8.85456
PR,2016-09-04,23.8,28.9,25.75,88.0,99.0,94.88,0.204,0.0,10.598,5.08704
PR,2016-09-05,23.3,31.3,25.13,78.0,99.0,95.61,0.222,15.67,10.224,4.90752
PR,2016-09-06,23.4,30.5,25.23,80.0,100.0,95.83,0.167,0.0,12.599,6.04752
PR,2016-09-07,23.2,32.2,26.18,73.0,100.0,92.54,0.185,0.83,18.429,8.84592
PR,2016-09-08,24.4,30.1,25.83,84.0,99.0,95.58,0.093,21.77,10.476,5.02848
PR,2016-09-09,24.3,29.2,25.73,88.0,100.0,95.79,0.315,9.5,11.634,5.58432
PR,2016-09-10,23.5,26.7,24.53,94.0,100.0,98.13,0.074,32.97,6.772,3.25056
PR,2016-09-11,23.6,30.3,25.98,83.0,100.0,94.17,0.37,10.77,17.59,8.4432
PR,2016-09-12,23.4,28.4,24.83,91.0,100.0,97.75,0.278,44.83,7.518,3.60864
PR,2016-09-13,23.1,31.2,24.85,82.0,99.0,95.44,0.20691121139835403,106.9,13.761418392070484,6.605480828193832
PR,2016-09-14,23.9,30.8,25.7,81.0,99.0,93.98,0.20691121139835403,20.2,13.761418392070484,6.605480828193832
PR,2016-09-15,23.7,29.3,25.38,86.0,100.0,95.5,0.241,1.63,13.049,6.26352
PR,2016-09-16,22.1,31.6,24.97,80.0,100.0,94.25,0.259,23.27,15.384,7.38432
PR,2016-09-17,21.6,31.8,25.38,70.0,100.0,90.75,0.019,6.73,18.318,8.79264
PR,2016-09-18,23.4,28.8,25.52,86.0,100.0,94.96,0.185,24.57,11.699,5.61552
PR,2016-09-19,22.9,28.7,25.15,88.0,100.0,96.04,0.241,4.17,12.599,6.04752
PR,2016-09-20,21.9,30.3,25.38,76.0,100.0,92.08,0.093,16.1,14.704,7.05792
PR,2016-09-21,21.3,30.7,24.13,84.0,100.0,96.79,0.204,45.03,10.85,5.207999999999999
PR,2016-09-22,21.7,29.8,24.52,83.0,100.0,96.29,0.185,21.37,12.701,6.09648
PR,2016-09-23,22.8,31.3,24.58,77.0,100.0,96.13,0.074,6.7,12.512,6.00576
PR,2016-09-24,22.5,28.1,24.47,91.0,100.0,97.46,0.13,5.6,8.576,4.11648
PR,2016-09-25,23.3,31.1,25.86,75.0,99.0,92.35,0.20691121139835403,3.43,13.761418392070484,6.605480828193832
PR,2016-09-26,22.8,29.6,24.04,82.0,100.0,95.89,0.20691121139835403,3.43,13.761418392070484,6.605480828193832
PR,2016-09-27,21.9,32.0,25.81,69.0,100.0,91.0,0.056,0.0,17.849,8.56752
PR,2016-09-28,23.2,33.2,26.98,70.0,100.0,89.67,0.074,3.09,14.557,6.98736
PR,2016-09-29,23.5,32.8,26.4,73.0,99.0,93.46,0.13,26.8,12.671,6.0820799999999995
PR,2016-09-30,22.4,30.3,25.09,78.0,100.0,94.54,0.037,35.47,14.24,6.8351999999999995
PR,2016-10-01,22.1,30.9,25.81,80.0,100.0,93.33,0.148,0.0,13.621,6.53808
PR,2016-10-02,23.9,30.3,26.17,80.0,100.0,93.29,0.352,0.0,12.689,6.09072
PR,2016-10-03,23.5,32.0,26.5,75.0,100.0,92.17,0.259,0.0,15.795,7.5816
PR,2016-10-04,22.8,32.8,25.23,75.0,99.0,94.14,0.093,1.17,11.265,5.4072000000000005
PR,2016-10-05,22.3,33.4,25.88,69.0,100.0,90.5,0.13,13.87,21.535,10.3368
PR,2016-10-06,21.7,33.3,26.69,66.0,100.0,89.54,0.0,0.0,20.369,9.77712
PR,2016-10-07,23.2,32.3,25.17,78.0,100.0,96.75,0.056,30.17,8.432,4.04736
PR,2016-10-08,24.1,29.8,26.42,85.0,99.0,94.39,0.20691121139835403,2.93,13.761418392070484,6.605480828193832
PR,2016-10-09,22.7,32.8,26.53,72.0,99.0,91.48,0.20691121139835403,0.43,13.761418392070484,6.605480828193832
PR,2016-10-10,22.6,28.3,24.6,89.0,99.0,96.08,0.167,18.4,9.23,4.4304
PR,2016-10-11,22.3,33.4,26.65,68.0,100.0,90.17,0.093,0.43,17.083,8.199839999999998
PR,2016-10-12,22.4,27.3,24.74,87.0,99.0,95.83,0.019,9.0,9.296,4.462079999999999
PR,2016-10-13,22.3,32.6,26.0,71.0,100.0,91.42,0.111,0.0,15.391,7.38768
PR,2016-10-14,22.2,30.0,25.64,78.0,100.0,91.88,0.019,0.0,11.987,5.75376
PR,2016-10-15,23.7,32.6,26.0,73.0,99.0,94.0,0.148,0.47,10.588,5.08224
PR,2016-10-16,22.3,30.7,25.67,81.0,99.0,92.96,0.037,10.9,13.153,6.31344
PR,2016-10-17,23.7,33.6,27.22,66.0,100.0,88.42,0.148,0.0,18.159,8.71632
PR,2016-10-18,22.1,32.1,25.34,73.0,99.0,93.88,0.13,14.0,11.238,5.39424
PR,2016-10-19,22.1,32.8,26.48,67.0,100.0,90.46,0.074,22.6,18.944,9.093119999999999
PR,2016-10-20,21.8,32.8,26.21,70.0,100.0,90.13,0.0,5.07,18.89,9.0672
PR,2016-10-21,23.5,30.7,26.08,85.0,99.0,95.19,0.20691121139835403,1.8,13.761418392070484,6.605480828193832
PR,2016-10-22,23.5,34.2,26.51,75.0,99.0,93.27,0.20691121139835403,0.0,13.761418392070484,6.605480828193832
PR,2016-10-23,23.3,33.2,27.01,70.0,100.0,89.13,0.037,0.0,19.009,9.124319999999999
PR,2016-10-24,23.3,34.6,26.64,62.0,99.0,90.71,0.019,1.76,16.785,8.056799999999999
PR,2016-10-25,23.3,33.7,26.7,73.0,100.0,91.75,0.037,2.1,14.326,6.87648
PR,2016-10-26,22.8,34.8,27.24,62.0,100.0,88.04,0.241,0.0,19.203,9.21744
PR,2016-10-27,21.8,35.3,27.53,56.0,99.0,86.04,0.037,0.0,20.646,9.91008
PR,2016-10-28,23.7,35.0,27.4,59.0,99.0,88.13,0.13,0.0,17.619,8.45712
PR,2016-10-29,22.4,33.8,25.58,67.0,99.0,91.79,0.13,0.0,16.205,7.778399999999999
PR,2016-10-30,21.8,33.8,25.68,67.0,100.0,90.63,1.099,35.87,13.952,6.69696
PR,2016-10-31,21.0,33.9,26.28,67.0,100.0,89.88,0.074,41.93,19.707,9.45936
PR,2016-11-01,21.6,31.7,25.8,68.0,100.0,91.0,0.0,5.5,16.1,7.728000000000001
PR,2016-11-02,23.5,33.3,27.3,70.0,99.0,89.6,0.1,1.0,16.1,7.728000000000001
PR,2016-11-03,22.2,34.6,25.9,68.0,100.0,92.3,0.0,0.43,13.3,6.384
PR,2016-11-04,21.0,33.8,26.7,65.0,100.0,89.2,0.20691121139835403,0.0,17.7,8.495999999999999
PR,2016-11-05,22.4,33.5,27.2,64.0,99.0,88.3,0.20691121139835403,0.0,18.1,8.688
PR,2016-11-06,23.6,33.8,27.5,62.0,100.0,89.1,0.20691121139835403,0.0,14.7,7.055999999999999
PR,2016-11-07,23.7,34.4,27.8,62.0,99.0,89.1,0.0,0.0,16.2,7.776
PR,2016-11-08,24.1,34.3,28.2,61.0,99.0,86.4,0.20691121139835403,0.0,19.4,9.312
PR,2016-11-09,23.0,34.9,28.1,61.0,99.0,86.8,0.20691121139835403,0.0,17.9,8.591999999999999
PR,2016-11-10,24.3,35.0,28.0,59.0,99.0,88.5,0.2,0.0,18.2,8.735999999999999
PR,2016-11-11,23.2,32.3,26.2,75.0,99.0,92.0,0.2,0.0,12.8,6.144
PR,2016-11-12,23.1,33.0,26.6,70.0,99.0,89.6,0.20691121139835403,0.0,14.0,6.72
PR,2016-11-13,22.4,34.9,27.6,59.0,99.0,85.8,0.20691121139835403,0.0,17.2,8.256
PR,2016-11-14,23.3,34.8,27.8,59.0,99.0,87.1,0.20691121139835403,0.0,16.7,8.016
PR,2016-11-15,23.0,34.6,27.9,60.0,99.0,86.7,0.1,0.0,17.2,8.256
PR,2016-11-16,23.9,35.1,28.1,59.0,99.0,87.5,0.1,0.0,16.7,8.016
PR,2016-11-17,23.0,33.2,26.0,75.0,99.0,93.2,0.1,0.0,11.1,5.327999999999999
PR,2016-11-18,22.6,33.3,27.1,70.0,100.0,90.2,0.0,7.93,15.5,7.4399999999999995
PR,2016-11-19,22.8,31.2,25.8,83.0,99.0,93.6,0.1,0.0,9.8,4.704
PR,2016-11-20,22.3,33.7,27.1,69.0,99.0,90.7,0.1,0.0,14.0,6.72
PR,2016-11-21,23.2,34.1,26.7,69.0,99.0,91.8,0.2,6.7,15.7,7.536
PR,2016-11-22,23.2,32.6,27.1,74.0,100.0,91.5,0.20691121139835403,9.4,13.8,6.624
PR,2016-11-23,22.6,34.4,27.9,65.0,99.0,87.8,0.20691121139835403,0.0,17.1,8.208
PR,2016-11-24,22.3,34.3,27.5,67.0,99.0,90.2,0.0,21.73,16.4,7.871999999999999
PR,2016-11-25,24.3,35.4,28.5,61.0,99.0,88.2,0.0,0.0,18.1,8.688
PR,2016-11-26,24.3,35.1,28.1,67.0,99.0,90.0,0.1,0.0,16.6,7.968
PR,2016-11-27,23.7,34.1,27.6,71.0,99.0,89.6,0.2,0.0,16.7,8.016
PR,2016-11-28,23.0,33.5,26.5,72.0,99.0,91.6,0.2,0.43,16.4,7.871999999999999
PR,2016-11-29,22.3,33.2,26.3,75.0,100.0,92.2,0.1,3.5,13.3,6.384
PR,2016-11-30,23.1,34.4,27.4,72.0,100.0,90.7,0.2,0.0,14.7,7.055999999999999
PR,2016-12-01,23.9,35.1,27.9,65.0,99.0,90.4,0.0,10.67,14.5,6.96
PR,2016-12-02,23.9,35.4,28.2,56.0,99.0,86.8,0.0,0.0,17.5,8.4
PR,2016-12-03,22.5,33.8,27.4,61.0,99.0,88.1,0.0,0.0,13.7,6.576
PR,2016-12-04,23.3,34.4,27.9,63.0,99.0,87.8,0.20691121139835403,0.0,13.3,6.384
