Site,Date,Tmin,Tmax,Taverage,Rh_min,Rh_max,Rh_average,Wind,Precipitations,Rg,Ri_PAR_f
PR,2015-08-30,22.5,29.2,25.2,83.0,99.0,93.25,0.37,2.5,11.57,5.5536
PR,2015-08-31,22.9,28.7,24.3,84.0,99.0,94.46,0.06,3.67,6.27,3.0096
PR,2015-09-01,22.9,27.6,24.53,89.0,99.0,97.29,0.04,8.98,6.48,3.1104000000000003
PR,2015-09-02,22.7,27.7,23.96,94.0,99.0,97.33,0.03,11.3,5.11,2.4528
PR,2015-09-03,23.0,28.5,24.7,85.0,99.0,95.04,0.03,18.13,7.6,3.6479999999999997
PR,2015-09-04,21.9,29.8,25.34,81.0,99.0,92.63,0.05,20.5,9.38,4.502400000000001
PR,2015-09-05,23.5,25.4,24.05,93.0,98.0,96.96,0.03,16.58,3.0,1.44
PR,2015-09-06,23.1,29.6,24.84,80.0,99.0,94.46,0.09,9.85,9.09,4.3632
PR,2015-09-07,22.0,27.2,23.78,87.0,98.0,96.29,0.02,2.5,5.73,2.7504
PR,2015-09-08,22.3,30.9,25.1,85.0,99.0,96.04,0.14,11.55,11.57,5.5536
PR,2015-09-09,23.7,26.8,24.36,93.0,99.0,97.04,0.03,32.35,4.53,2.1744
PR,2015-09-10,23.2,31.8,25.95,74.0,99.0,92.83,0.21,10.95,11.52,5.529599999999999
PR,2015-09-11,22.7,31.3,26.16,72.0,98.0,90.54,0.85,1.33,13.83,6.6384
PR,2015-09-12,23.8,31.3,26.55,71.0,98.0,89.33,0.91,6.43,11.02,5.289599999999999
PR,2015-09-13,24.5,27.9,25.5,90.0,98.0,95.5,1.1,21.25,7.81,3.7487999999999997
PR,2015-09-14,22.3,29.3,24.36,77.0,99.0,94.83,0.69,53.4,8.44,4.0512
PR,2015-09-15,21.9,30.5,24.97,78.0,98.0,93.21,1.06,13.1,12.37,5.9376
PR,2015-09-16,23.8,28.2,25.22,89.0,99.0,95.63,1.43,4.8,8.37,4.0176
PR,2015-09-17,23.3,29.1,24.97,85.0,92.0,90.33,0.20691121139835403,3.77,10.59,5.0832
PR,2015-09-18,23.1,29.7,25.1,83.0,93.0,90.09,0.05,1.53,9.1,4.367999999999999
PR,2015-09-19,23.1,29.7,25.09,80.0,92.0,89.67,0.07,5.73,8.92,4.2816
PR,2015-09-20,22.3,31.3,24.9,80.0,93.0,90.92,0.05,33.83,9.63,4.6224
PR,2015-09-21,22.6,31.1,25.99,77.0,93.0,87.83,0.1,15.0,13.36,6.4128
PR,2015-09-22,23.4,30.7,25.57,76.0,97.0,88.64,0.07,20.37,12.58,6.0384
PR,2015-09-23,22.3,32.2,26.15,74.0,99.0,90.38,0.11,0.83,15.41,7.3968
PR,2015-09-24,21.7,30.7,24.58,81.0,99.0,95.04,0.05,10.83,9.07,4.3536
PR,2015-09-25,21.6,28.6,24.27,83.0,99.0,94.13,0.20691121139835403,0.0,8.04,3.8591999999999995
PR,2015-09-26,23.2,31.6,26.31,73.0,99.0,90.25,0.03,0.0,13.87,6.6575999999999995
PR,2015-09-27,22.8,32.1,25.77,76.0,99.0,93.46,0.07,2.3,15.74,7.5552
PR,2015-09-28,23.1,31.5,26.05,77.0,99.0,92.79,0.09,11.67,14.67,7.0416
PR,2015-09-29,22.8,28.8,24.51,87.0,99.0,96.71,0.05,5.5,7.48,3.5904000000000003
PR,2015-09-30,23.2,31.1,25.86,82.0,99.0,93.0,0.11,4.0,14.84,7.1232
PR,2015-10-01,23.1,31.7,26.12,76.0,99.0,91.42,0.28,0.4,12.71,6.1008000000000004
PR,2015-10-02,22.4,32.4,25.36,76.0,99.0,92.83,0.28,3.57,12.62,6.057599999999999
PR,2015-10-03,21.8,31.9,25.68,73.0,98.0,91.21,0.28,0.0,15.11,7.2528
PR,2015-10-04,23.3,32.6,26.62,71.0,99.0,89.96,0.41,20.03,19.45,9.335999999999999
PR,2015-10-05,23.7,33.2,26.56,73.0,98.0,92.71,0.28,35.0,12.19,5.8511999999999995
PR,2015-10-06,21.7,31.2,25.26,76.0,99.0,90.75,0.2,8.94,14.88,7.1424
PR,2015-10-07,21.9,29.1,24.95,85.0,99.0,93.46,0.11,0.0,9.62,4.6175999999999995
PR,2015-10-08,21.7,32.3,25.24,75.0,99.0,92.29,0.15,25.84,14.29,6.8591999999999995
PR,2015-10-09,22.1,31.8,25.35,73.0,98.0,91.67,0.19,7.84,13.45,6.4559999999999995
PR,2015-10-10,22.2,33.6,26.16,61.0,99.0,88.29,0.06,0.0,20.19,9.6912
PR,2015-10-11,21.1,28.6,23.83,87.0,98.0,96.58,0.04,8.17,5.16,2.4768
PR,2015-10-12,20.3,33.7,25.64,64.0,99.0,89.08,0.15,0.0,18.03,8.6544
PR,2015-10-13,22.7,33.1,26.84,73.0,98.0,91.38,0.3,1.73,13.43,6.4464
PR,2015-10-14,21.8,27.6,24.27,85.0,98.0,95.17,0.04,22.2,7.35,3.5279999999999996
PR,2015-10-15,21.1,33.6,26.55,65.0,99.0,88.17,0.0,1.0,16.93,8.1264
