Tmin,Tmax,TEff,root_depth,ET0,tree_ei,qty_H2O_Vap,qty_H2O_C1,qty_H2O_C1minusVap,qty_H2O_C2,qty_H2O_C,FractionC1,FractionC2,SizeC1,SizeC2,SizeC,SizeVap,SizeC1minusVap,ftsw,rain_remain,rain_effective,runoff,timestep
-Inf,-Inf,8.6012,1000.0,1.0,0.8,10.0,30.712524988938874,20.712524988938874,97.53270912471899,118.24523411365786,0.853125694137191,0.9378145108146057,36.0,104.0,130.0,10.0,26.0,0.9095787239512143,0.0,0.0,0.0,52
-Inf,-Inf,8.398031496062991,1000.0,1.0,0.8,10.0,30.43597845135537,20.43597845135537,97.16874656093604,117.60472501229141,0.8454438458709825,0.9343148707782312,36.0,104.0,130.0,10.0,26.0,0.90465173086378,0.0,0.0,0.0,53
-Inf,-Inf,9.082692307692307,1000.0,1.0,0.8,10.0,30.159637705174507,20.159637705174507,96.80217497974205,116.96181268491655,0.8377677140326252,0.9307901440359813,36.0,104.0,130.0,10.0,26.0,0.899706251422435,0.0,0.0,0.0,54
-Inf,-Inf,8.490677966101694,1000.0,1.0,0.8,10.0,29.883507966267143,19.883507966267143,96.43295363335646,116.31646159962361,0.8300974435074207,0.9272399387822736,36.0,104.0,130.0,10.0,26.0,0.894742012304797,0.0,0.0,0.0,55
-Inf,-Inf,9.114077669902914,1000.0,1.0,0.8,10.0,35.11564625923467,25.115646259234673,96.09403447826635,121.20968073750103,0.9754346183120742,0.9239811007525611,36.0,104.0,130.0,10.0,26.0,0.9323821595192388,0.0,5.520720000000001,1.1492799999999992,56
-Inf,-Inf,9.548837209302324,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,0.7953457375010231,9.585665,1.4643350000000002,57
-Inf,-Inf,8.784710743801652,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,58
-Inf,-Inf,9.501111111111111,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,59
-Inf,-Inf,8.783913043478261,1000.0,1.0,0.8,10.0,34.88226916699195,24.882269166991943,102.7039978041856,127.58626697117755,0.9689519213053318,0.9875384404248616,36.0,104.0,130.0,10.0,26.0,0.9814328228552119,0.0,0.0,0.0,60
-Inf,-Inf,9.828787878787878,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,0.20326697117755543,2.617,0.883,61
-Inf,-Inf,8.872448979591837,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,27.990573667180286,28.591190000000005,1.7088099999999962,62
-Inf,-Inf,9.174761904761905,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,63
-Inf,-Inf,8.485766423357662,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.5,64
-Inf,-Inf,8.966101694915253,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,1.0385406472608167,2.846,0.9039999999999999,65
-Inf,-Inf,9.012711864406779,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,37.66611366718027,38.26673,1.8332699999999988,66
-Inf,-Inf,8.524436090225562,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,67
-Inf,-Inf,8.935593220338982,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,68
-Inf,-Inf,8.914423076923075,1000.0,1.0,0.8,10.0,34.88226916699195,24.882269166991943,102.7039978041856,127.58626697117755,0.9689519213053318,0.9875384404248616,36.0,104.0,130.0,10.0,26.0,0.9814328228552119,0.0,0.0,0.15,69
-Inf,-Inf,9.312135922330098,1000.0,1.0,0.8,10.0,34.83811518310696,24.838115183106957,102.3760974644114,127.21421264751837,0.967725421752971,0.9843855525424173,36.0,104.0,130.0,10.0,26.0,0.9785708665193721,0.0,0.23540000000000005,0.6646,70
-Inf,-Inf,8.250671140939597,1000.0,1.0,0.8,10.0,34.55869951679572,24.55869951679572,102.04611012836489,126.6048096451606,0.9599638754665478,0.9812125973881239,36.0,104.0,130.0,10.0,26.0,0.97388315111662,0.0,0.0,0.0,71
-Inf,-Inf,8.628625954198474,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,17.98870964516061,21.383900000000004,1.6160999999999959,72
-Inf,-Inf,8.441791044776117,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,73
-Inf,-Inf,8.36145038167939,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,10.80145496701904,12.00455,1.49545,74
-Inf,-Inf,9.435263157894736,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,75
-Inf,-Inf,8.546296296296296,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,9.666059967019038,10.869155,1.4808450000000004,76
-Inf,-Inf,9.133928571428573,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,77
